alteromonas nitratireducens:::fph
alteromonas oceani:::fph
alteromonas pelagimontana:::fph
alteromonas ponticola:::fph
alteromonas portus:::fph
alteromonas profundi:::fph
alteromonas salexigens:::fph
alteromonas sediminis:::fph
alteromonas simiduii:::fph
alteromonas stellipolaris:::fph
alteromonas tagae:::fph
alteromonas ulvae:::fph
amedibacillus dolichus:::fph
aminobacter aminovorans:::fph
aminomonas paucivorans:::fph
amycolatopsis acidicola:::fph
amycolatopsis acididurans:::fph
amycolatopsis acidiphila:::fph
amycolatopsis aidingensis:::fph
amycolatopsis alba:::fph
amycolatopsis albidoflava:::fph
amycolatopsis albispora:::fph
amycolatopsis alkalitolerans:::fph
amycolatopsis anabasis:::fph
amycolatopsis antarctica:::fph
amycolatopsis arida:::fph
amycolatopsis australiensis:::fph
amycolatopsis azurea:::fph
amycolatopsis balhimycina:::fph
amycolatopsis bartoniae:::fph
amycolatopsis benzoatilytica:::fph
amycolatopsis bullii:::fph
amycolatopsis camponoti:::fph
amycolatopsis cappadoca:::fph
amycolatopsis carbonis:::fph
amycolatopsis cihanbeyliensis:::fph
amycolatopsis circi:::fph
amycolatopsis coloradensis:::fph
amycolatopsis cynarae:::fph
amycolatopsis decaplanina:::fph
amycolatopsis dendrobii:::fph
amycolatopsis deserti:::fph
amycolatopsis dongchuanensis:::fph
amycolatopsis eburnea:::fph
amycolatopsis echigonensis:::fph
amycolatopsis endophytica:::fph
amycolatopsis equina:::fph
amycolatopsis granulosa:::fph
amycolatopsis halotolerans:::fph
amycolatopsis helveola:::fph
amycolatopsis heterodermiae:::fph
amycolatopsis hippodromi:::fph
amycolatopsis iheyensis:::fph
amycolatopsis japonica:::fph
amycolatopsis jejuensis:::fph
amycolatopsis jiangsuensis:::fph
amycolatopsis jiguanensis:::fph
amycolatopsis kentuckyensis:::fph
amycolatopsis keratiniphila:::fph
amycolatopsis lexingtonensis:::fph
amycolatopsis lurida:::fph
amycolatopsis magusensis:::fph
amycolatopsis marina:::fph
amycolatopsis mediterranei:::fph
amycolatopsis melonis:::fph
amycolatopsis methanolica:::fph
amycolatopsis minnesotensis:::fph
amycolatopsis mongoliensis:::fph
amycolatopsis nalaikhensis:::fph
amycolatopsis nigrescens:::fph
amycolatopsis nivea:::fph
amycolatopsis oliviviridis:::fph
amycolatopsis orientalis:::fph
amycolatopsis palatopharyngis:::fph
amycolatopsis panacis:::fph
amycolatopsis pigmentata:::fph
amycolatopsis pithecellobii:::fph
amycolatopsis plumensis:::fph
amycolatopsis ponsaeliensis:::fph
amycolatopsis pretoriensis:::fph
amycolatopsis regifaucium:::fph
amycolatopsis rhabdoformis:::fph
amycolatopsis rhizosphaerae:::fph
amycolatopsis rhizosphaerihabitans:::fph
amycolatopsis rifamycinica:::fph
amycolatopsis roodepoortensis:::fph
amycolatopsis ruanii:::fph
amycolatopsis rubida:::fph
amycolatopsis saalfeldensis:::fph
amycolatopsis sacchari:::fph
amycolatopsis samaneae:::fph
amycolatopsis silviterrae:::fph
amycolatopsis solani:::fph
amycolatopsis speibonae:::fph
amycolatopsis stemonae:::fph
amycolatopsis suaedae:::fph
amycolatopsis sulphurea:::fph
amycolatopsis taiwanensis:::fph
amycolatopsis thailandensis:::fph
amycolatopsis thermalba:::fph
amycolatopsis thermoflava:::fph
amycolatopsis thermophila:::fph
amycolatopsis tolypomycina:::fph
amycolatopsis tucumanensis:::fph
amycolatopsis ultiminotia:::fph
amycolatopsis umgeniensis:::fph
amycolatopsis vancoresmycina:::fph
amycolatopsis vastitatis:::fph
amycolatopsis viridis:::fph
amycolatopsis xuchangensis:::fph
amycolatopsis xylanica:::fph
amylolactobacillus amylophilus:::fph
amylolactobacillus amylotrophicus:::fph
anaeroarcus burkinensis:::fph
anaerobacillus alkalidiazotrophicus:::fph
anaerobacillus arseniciselenatis:::fph
anaerobiospirillum succiniciproducens:::fph
anaerobiospirillum thomasii:::fph
anaerobutyricum hallii:::fph
anaerococcus cruorum:::fph
anaerococcus degeneri:::fph
anaerococcus groningensis:::fph
anaerococcus hydrogenalis:::fph
anaerococcus jeddahensis:::fph
anaerococcus kampingae:::fph
anaerococcus lactolyticus:::fph
anaerococcus martiniensis:::fph
anaerococcus murdochii:::fph
anaerococcus nagyae:::fph
anaerococcus octavius:::fph
anaerococcus pacaensis:::fph
anaerococcus porci:::fph
anaerococcus prevotii:::fph
anaerococcus provencensis:::fph
anaerococcus rubeinfantis:::fph
anaerococcus senegalensis:::fph
anaerococcus tetradius:::fph
anaerococcus vaginalis:::fph
anaerococcus vaginimassiliensis:::fph
anaerocolumna aminovalerica:::fph
anaerocolumna jejuensis:::fph
anaerocolumna xylanovorans:::fph
anaeromicropila populeti:::fph
anaerorhabdus furcosa:::fph
anaerosinus glycerini:::fph
anaerospora hongkongensis:::fph
anaerostipes amylophilus:::fph
anaerostipes butyraticus:::fph
anaerostipes caccae:::fph
anaerostipes faecalis:::fph
anaerostipes faecis:::fph
anaerostipes hadrus:::fph
anaerostipes hominis:::fph
anaerostipes rhamnosivorans:::fph
anaerotignum lactatifermentans:::fph
anaerotignum neopropionicum:::fph
anaerotignum propionicum:::fph
anaerotruncus colihominis:::fph
anaerotruncus massiliensis:::fph
anaerovibrio lipolyticus:::fph
anaerovibrio slackiae:::fph
anaplasma caudatum:::fph
anaplasma centrale:::fph
anaplasma marginale:::fph
anaplasma ovis:::fph
anaplasma phagocytophilum:::fph
ancylobacter koreensis:::fph
ancylobacter novellus:::fph
andreesenella acetica:::fph
andreesenella formicacetica:::fph
andreesenia angusta:::fph
aneurinibacillus aneurinilyticus:::fph
aneurinibacillus migulanus:::fph
aneurinibacillus thermoaerophilus:::fph
anoxybacillus andreesenii:::fph
antrihabitans cavernicola:::fph
apilactobacillus apinorum:::fph
apilactobacillus bombintestini:::fph
apilactobacillus kunkeei:::fph
apilactobacillus micheneri:::fph
apilactobacillus ozensis:::fph
apilactobacillus quenuiae:::fph
apilactobacillus timberlakei:::fph
aquaspirillum arcticum:::fph
aquaspirillum bengal:::fph
aquaspirillum dispar:::fph
aquaspirillum polymorphum:::fph
aquaspirillum putridiconchylium:::fph
aquaspirillum serpens:::fph
aquaspirillum soli:::fph
aquimarina latercula:::fph
aquimonas voraii:::fph
aquisalibacillus elongatus:::fph
arachnia propionica:::fph
arachnia rubra:::fph
arcanobacterium bovis:::fph
arcanobacterium buesumense:::fph
arcanobacterium canis:::fph
arcanobacterium haemolyticum:::fph
arcanobacterium hippocoleae:::fph
arcanobacterium phocae:::fph
arcanobacterium phocisimile:::fph
arcanobacterium pinnipediorum:::fph
arcanobacterium pluranimalium:::fph
arcanobacterium wilhelmae:::fph
arcobacter acticola:::fph
arcobacter anaerophilus:::fph
arcobacter antarcticus:::fph
arcobacter aquimarinus:::fph
arcobacter arenosus:::fph
arcobacter bivalviorum:::fph
arcobacter butzleri:::fph
arcobacter caeni:::fph
arcobacter canalis:::fph
arcobacter cibarius:::fph
arcobacter cloacae:::fph
arcobacter cryaerophilus:::fph
arcobacter defluvii:::fph
arcobacter ebronensis:::fph
arcobacter ellisii:::fph
arcobacter faecis:::fph
arcobacter halophilus:::fph
arcobacter iocasae:::fph
arcobacter lacus:::fph
arcobacter lanthieri:::fph
arcobacter lekithochrous:::fph
arcobacter marinus:::fph
arcobacter molluscorum:::fph
arcobacter mytili:::fph
arcobacter nitrofigilis:::fph
